Generated by Rfunction:  Get.mw41.edt.func2 
============> Radisonde_info:
RS_type:        RS41-SGP
RS_config:      -32768
RS_serialnum:   R3340183
RS_freq:        403
RS__windtype:   ccGPS
=============> Station_info:
Station:        HUBV_RS41SGP
Latitude:       39.0563
Longitude:      -76.8755
Altitude:       52.3
SW version:     MW41 2.15.0
Start time:     2020-01-23 06:46:41
=============> Variables & units - Vaisala EDT
NA_numeric value:  -9999
NA_string:  xx or NA
-----------------------------
	  Variable       Unit
	      time        sec
	        xx         NA
	        Ta          K
	        RH          %
	   v(S->N)        m/s
	   u(E->W)        m/s
	    Height          m
	     press        hPa
	        Td          K
	        MR       g/Kg
	        DD        dgr
	        FF        m/s
	Ascend_FLG  (0-N,1-Y)
	        xx         NA
	        xx         NA
	       Lon        dgr
	       Lat        dgr
	        xx         NA
	        xx         NA
	        xx         NA
=============> Data:
2423.81  -9999.    211.61     2.12     -6.30     17.71      15546.2    111.30    185.48     0.00     289.59     18.80 1  -9999.  -9999.   -76.5390    39.0724  -9999.  -9999.  -9999.
2424.81  -9999.    211.59     2.12     -6.35     17.52      15551.6    111.18    185.46     0.00     289.93     18.63 1  -9999.  -9999.   -76.5388    39.0723  -9999.  -9999.  -9999.
2425.81  -9999.    211.54     2.12     -6.39     17.32      15557.7    111.07    185.42     0.00     290.24     18.46 1  -9999.  -9999.   -76.5385    39.0722  -9999.  -9999.  -9999.
2426.81  -9999.    211.49     2.13     -6.42     17.14      15563.6    110.97    185.39     0.00     290.53     18.30 1  -9999.  -9999.   -76.5384    39.0722  -9999.  -9999.  -9999.
2427.81  -9999.    211.46     2.13     -6.44     16.96      15568.8    110.86    185.38     0.00     290.79     18.14 1  -9999.  -9999.   -76.5382    39.0721  -9999.  -9999.  -9999.
2428.81  -9999.    211.45     2.14     -6.45     16.78      15574.3    110.76    185.39     0.00     291.04     17.98 1  -9999.  -9999.   -76.5381    39.0721  -9999.  -9999.  -9999.
2429.81  -9999.    211.42     2.14     -6.46     16.60      15580.5    110.67    185.38     0.00     291.26     17.82 1  -9999.  -9999.   -76.5379    39.0721  -9999.  -9999.  -9999.
2430.81  -9999.    211.40     2.15     -6.46     16.43      15586.2    110.57    185.38     0.00     291.46     17.66 1  -9999.  -9999.   -76.5377    39.0720  -9999.  -9999.  -9999.
2431.81  -9999.    211.39     2.15     -6.45     16.27      15590.3    110.48    185.39     0.00     291.64     17.50 1  -9999.  -9999.   -76.5375    39.0719  -9999.  -9999.  -9999.
2432.81  -9999.    211.38     2.16     -6.44     16.11      15594.6    110.39    185.40     0.00     291.78     17.35 1  -9999.  -9999.   -76.5372    39.0718  -9999.  -9999.  -9999.
2433.81  -9999.    211.39     2.16     -6.41     15.96      15599.9    110.30    185.42     0.00     291.89     17.20 1  -9999.  -9999.   -76.5370    39.0718  -9999.  -9999.  -9999.
2434.81  -9999.    211.41     2.17     -6.38     15.82      15606.0    110.22    185.44     0.00     291.97     17.06 1  -9999.  -9999.   -76.5368    39.0717  -9999.  -9999.  -9999.
2435.81  -9999.    211.41     2.17     -6.35     15.69      15610.3    110.13    185.45     0.00     292.02     16.92 1  -9999.  -9999.   -76.5367    39.0717  -9999.  -9999.  -9999.
2436.81  -9999.    211.39     2.17     -6.30     15.57      15613.2    110.04    185.43     0.00     292.05     16.79 1  -9999.  -9999.   -76.5365    39.0717  -9999.  -9999.  -9999.
2437.81  -9999.    211.37     2.17     -6.26     15.45      15618.4    109.95    185.43     0.00     292.05     16.67 1  -9999.  -9999.   -76.5364    39.0716  -9999.  -9999.  -9999.
2438.81  -9999.    211.36     2.17     -6.21     15.34      15624.1    109.86    185.42     0.00     292.04     16.55 1  -9999.  -9999.   -76.5362    39.0715  -9999.  -9999.  -9999.
2439.81  -9999.    211.37     2.17     -6.15     15.23      15631.1    109.77    185.42     0.00     292.00     16.43 1  -9999.  -9999.   -76.5361    39.0715  -9999.  -9999.  -9999.
2440.81  -9999.    211.38     2.17     -6.10     15.14      15634.3    109.69    185.43     0.00     291.93     16.32 1  -9999.  -9999.   -76.5359    39.0714  -9999.  -9999.  -9999.
2441.81  -9999.    211.40     2.17     -6.04     15.06      15639.9    109.60    185.45     0.00     291.84     16.23 1  -9999.  -9999.   -76.5357    39.0713  -9999.  -9999.  -9999.
2442.81  -9999.    211.42     2.17     -5.97     14.99      15645.4    109.51    185.46     0.00     291.71     16.14 1  -9999.  -9999.   -76.5355    39.0712  -9999.  -9999.  -9999.
2443.81  -9999.    211.42     2.17     -5.90     14.93      15650.1    109.42    185.47     0.00     291.56     16.06 1  -9999.  -9999.   -76.5353    39.0712  -9999.  -9999.  -9999.
2444.81  -9999.    211.41     2.18     -5.83     14.88      15654.9    109.34    185.47     0.00     291.38     15.98 1  -9999.  -9999.   -76.5352    39.0711  -9999.  -9999.  -9999.
2445.81  -9999.    211.39     2.18     -5.75     14.84      15658.3    109.26    185.46     0.00     291.18     15.92 1  -9999.  -9999.   -76.5351    39.0711  -9999.  -9999.  -9999.
2446.81  -9999.    211.38     2.18     -5.67     14.81      15662.4    109.17    185.46     0.00     290.95     15.86 1  -9999.  -9999.   -76.5349    39.0711  -9999.  -9999.  -9999.
2447.81  -9999.    211.38     2.18     -5.59     14.79      15669.3    109.09    185.46     0.00     290.71     15.81 1  -9999.  -9999.   -76.5347    39.0711  -9999.  -9999.  -9999.
2448.81  -9999.    211.37     2.19     -5.51     14.77      15672.7    109.01    185.47     0.00     290.45     15.77 1  -9999.  -9999.   -76.5346    39.0710  -9999.  -9999.  -9999.
2449.81  -9999.    211.36     2.19     -5.43     14.77      15677.5    108.92    185.47     0.00     290.18     15.74 1  -9999.  -9999.   -76.5344    39.0710  -9999.  -9999.  -9999.
2450.81  -9999.    211.34     2.20     -5.35     14.78      15682.3    108.84    185.47     0.00     289.88     15.72 1  -9999.  -9999.   -76.5342    39.0709  -9999.  -9999.  -9999.
2451.81  -9999.    211.32     2.20     -5.26     14.81      15688.3    108.76    185.47     0.00     289.57     15.71 1  -9999.  -9999.   -76.5340    39.0708  -9999.  -9999.  -9999.
2452.81  -9999.    211.31     2.21     -5.18     14.84      15692.8    108.68    185.47     0.00     289.23     15.71 1  -9999.  -9999.   -76.5339    39.0707  -9999.  -9999.  -9999.
2453.81  -9999.    211.30     2.21     -5.09     14.87      15695.3    108.59    185.48     0.00     288.88     15.72 1  -9999.  -9999.   -76.5338    39.0707  -9999.  -9999.  -9999.
2454.81  -9999.    211.29     2.22     -4.99     14.92      15700.9    108.51    185.48     0.00     288.50     15.73 1  -9999.  -9999.   -76.5336    39.0707  -9999.  -9999.  -9999.
2455.81  -9999.    211.25     2.22     -4.90     14.97      15706.8    108.43    185.48     0.00     288.11     15.75 1  -9999.  -9999.   -76.5334    39.0707  -9999.  -9999.  -9999.
2456.81  -9999.    211.22     2.23     -4.80     15.02      15708.1    108.35    185.47     0.00     287.71     15.77 1  -9999.  -9999.   -76.5332    39.0706  -9999.  -9999.  -9999.
2457.81  -9999.    211.19     2.24     -4.70     15.09      15716.8    108.26    185.47     0.00     287.31     15.81 1  -9999.  -9999.   -76.5330    39.0706  -9999.  -9999.  -9999.
2458.81  -9999.    211.17     2.25     -4.61     15.16      15720.3    108.18    185.47     0.00     286.91     15.85 1  -9999.  -9999.   -76.5328    39.0706  -9999.  -9999.  -9999.
2459.81  -9999.    211.15     2.25     -4.52     15.24      15725.2    108.10    185.47     0.00     286.50     15.90 1  -9999.  -9999.   -76.5326    39.0705  -9999.  -9999.  -9999.
2460.81  -9999.    211.12     2.26     -4.42     15.33      15731.2    108.01    185.47     0.00     286.09     15.96 1  -9999.  -9999.   -76.5325    39.0705  -9999.  -9999.  -9999.
2461.81  -9999.    211.08     2.27     -4.33     15.42      15734.6    107.93    185.46     0.00     285.67     16.02 1  -9999.  -9999.   -76.5324    39.0704  -9999.  -9999.  -9999.
2462.81  -9999.    211.04     2.28     -4.23     15.52      15738.1    107.85    185.46     0.00     285.25     16.08 1  -9999.  -9999.   -76.5322    39.0704  -9999.  -9999.  -9999.
2463.81  -9999.    211.01     2.29     -4.13     15.61      15743.3    107.77    185.46     0.00     284.82     16.15 1  -9999.  -9999.   -76.5320    39.0703  -9999.  -9999.  -9999.
2464.81  -9999.    210.98     2.30     -4.03     15.71      15747.2    107.69    185.45     0.00     284.40     16.22 1  -9999.  -9999.   -76.5319    39.0703  -9999.  -9999.  -9999.
2465.81  -9999.    210.94     2.30     -3.93     15.81      15751.8    107.60    185.44     0.00     283.98     16.29 1  -9999.  -9999.   -76.5316    39.0703  -9999.  -9999.  -9999.
2466.81  -9999.    210.90     2.31     -3.84     15.91      15758.4    107.52    185.43     0.00     283.57     16.37 1  -9999.  -9999.   -76.5314    39.0702  -9999.  -9999.  -9999.
2467.81  -9999.    210.86     2.32     -3.75     16.02      15764.2    107.43    185.42     0.00     283.16     16.45 1  -9999.  -9999.   -76.5312    39.0702  -9999.  -9999.  -9999.
2468.81  -9999.    210.83     2.33     -3.66     16.13      15768.7    107.35    185.41     0.00     282.77     16.54 1  -9999.  -9999.   -76.5310    39.0702  -9999.  -9999.  -9999.
2469.81  -9999.    210.79     2.33     -3.56     16.24      15772.6    107.27    185.40     0.00     282.37     16.63 1  -9999.  -9999.   -76.5309    39.0701  -9999.  -9999.  -9999.
2470.81  -9999.    210.76     2.34     -3.47     16.36      15775.8    107.18    185.40     0.00     281.99     16.72 1  -9999.  -9999.   -76.5307    39.0701  -9999.  -9999.  -9999.
2471.81  -9999.    210.73     2.35     -3.38     16.47      15782.3    107.10    185.39     0.00     281.61     16.81 1  -9999.  -9999.   -76.5305    39.0701  -9999.  -9999.  -9999.
2472.81  -9999.    210.71     2.35     -3.30     16.58      15787.1    107.01    185.40     0.00     281.25     16.90 1  -9999.  -9999.   -76.5303    39.0700  -9999.  -9999.  -9999.
2473.81  -9999.    210.69     2.36     -3.21     16.69      15791.8    106.93    185.40     0.00     280.90     16.99 1  -9999.  -9999.   -76.5301    39.0700  -9999.  -9999.  -9999.
2474.81  -9999.    210.66     2.37     -3.14     16.80      15797.6    106.85    185.39     0.00     280.57     17.09 1  -9999.  -9999.   -76.5299    39.0700  -9999.  -9999.  -9999.
2475.81  -9999.    210.63     2.38     -3.06     16.91      15802.6    106.76    185.39     0.00     280.27     17.19 1  -9999.  -9999.   -76.5297    39.0699  -9999.  -9999.  -9999.
2476.81  -9999.    210.61     2.38     -3.00     17.03      15806.2    106.68    185.39     0.00     279.98     17.29 1  -9999.  -9999.   -76.5295    39.0699  -9999.  -9999.  -9999.
2477.81  -9999.    210.59     2.39     -2.93     17.14      15810.8    106.60    185.39     0.00     279.71     17.39 1  -9999.  -9999.   -76.5293    39.0699  -9999.  -9999.  -9999.
2478.81  -9999.    210.56     2.40     -2.87     17.26      15814.8    106.51    185.38     0.00     279.45     17.49 1  -9999.  -9999.   -76.5292    39.0699  -9999.  -9999.  -9999.
2479.81  -9999.    210.52     2.40     -2.82     17.37      15819.2    106.43    185.37     0.00     279.21     17.59 1  -9999.  -9999.   -76.5290    39.0699  -9999.  -9999.  -9999.
2480.81  -9999.    210.50     2.41     -2.76     17.48      15826.1    106.34    185.37     0.00     278.98     17.70 1  -9999.  -9999.   -76.5288    39.0699  -9999.  -9999.  -9999.
2481.81  -9999.    210.48     2.42     -2.72     17.59      15831.4    106.26    185.37     0.00     278.78     17.80 1  -9999.  -9999.   -76.5286    39.0698  -9999.  -9999.  -9999.
2482.81  -9999.    210.46     2.42     -2.67     17.70      15836.8    106.17    185.37     0.00     278.59     17.90 1  -9999.  -9999.   -76.5283    39.0698  -9999.  -9999.  -9999.
2483.81  -9999.    210.46     2.43     -2.64     17.82      15840.4    106.09    185.38     0.00     278.43     18.01 1  -9999.  -9999.   -76.5281    39.0698  -9999.  -9999.  -9999.
2484.81  -9999.    210.45     2.43     -2.61     17.93      15846.4    106.01    185.38     0.00     278.29     18.12 1  -9999.  -9999.   -76.5279    39.0697  -9999.  -9999.  -9999.
2485.81  -9999.    210.45     2.43     -2.59     18.05      15850.3    105.93    185.38     0.00     278.17     18.23 1  -9999.  -9999.   -76.5277    39.0697  -9999.  -9999.  -9999.
2486.81  -9999.    210.43     2.43     -2.57     18.16      15853.7    105.85    185.38     0.00     278.07     18.34 1  -9999.  -9999.   -76.5275    39.0697  -9999.  -9999.  -9999.
2487.81  -9999.    210.42     2.44     -2.56     18.27      15858.6    105.77    185.37     0.00     277.98     18.45 1  -9999.  -9999.   -76.5273    39.0698  -9999.  -9999.  -9999.
2488.81  -9999.    210.41     2.43     -2.55     18.38      15864.2    105.69    185.36     0.00     277.91     18.56 1  -9999.  -9999.   -76.5271    39.0697  -9999.  -9999.  -9999.
2489.81  -9999.    210.41     2.43     -2.55     18.50      15870.2    105.61    185.36     0.00     277.85     18.67 1  -9999.  -9999.   -76.5269    39.0697  -9999.  -9999.  -9999.
2490.81  -9999.    210.41     2.43     -2.55     18.61      15872.7    105.53    185.35     0.00     277.80     18.78 1  -9999.  -9999.   -76.5266    39.0697  -9999.  -9999.  -9999.
2491.81  -9999.    210.42     2.42     -2.55     18.72      15877.2    105.45    185.34     0.00     277.76     18.90 1  -9999.  -9999.   -76.5264    39.0696  -9999.  -9999.  -9999.
2492.81  -9999.    210.43     2.42     -2.56     18.84      15881.7    105.37    185.34     0.00     277.74     19.01 1  -9999.  -9999.   -76.5262    39.0696  -9999.  -9999.  -9999.
2493.81  -9999.    210.43     2.41     -2.58     18.96      15886.2    105.29    185.33     0.00     277.74     19.13 1  -9999.  -9999.   -76.5260    39.0696  -9999.  -9999.  -9999.
2494.81  -9999.    210.42     2.40     -2.60     19.07      15892.3    105.20    185.30     0.00     277.76     19.25 1  -9999.  -9999.   -76.5258    39.0696  -9999.  -9999.  -9999.
2495.81  -9999.    210.41     2.39     -2.62     19.18      15897.6    105.12    185.26     0.00     277.79     19.36 1  -9999.  -9999.   -76.5256    39.0696  -9999.  -9999.  -9999.
2496.81  -9999.    210.41     2.38     -2.65     19.28      15902.8    105.04    185.24     0.00     277.83     19.47 1  -9999.  -9999.   -76.5254    39.0696  -9999.  -9999.  -9999.
2497.81  -9999.    210.41     2.37     -2.69     19.39      15907.0    104.96    185.21     0.00     277.89     19.57 1  -9999.  -9999.   -76.5252    39.0695  -9999.  -9999.  -9999.
2498.81  -9999.    210.41     2.36     -2.72     19.48      15912.2    104.88    185.18     0.00     277.96     19.67 1  -9999.  -9999.   -76.5249    39.0695  -9999.  -9999.  -9999.
2499.81  -9999.    210.39     2.35     -2.77     19.58      15915.7    104.80    185.14     0.00     278.04     19.78 1  -9999.  -9999.   -76.5247    39.0694  -9999.  -9999.  -9999.
2500.81  -9999.    210.39     2.34     -2.82     19.68      15919.3    104.72    185.11     0.00     278.15     19.88 1  -9999.  -9999.   -76.5244    39.0694  -9999.  -9999.  -9999.
2501.81  -9999.    210.42     2.33     -2.87     19.77      15925.5    104.64    185.10     0.00     278.26     19.97 1  -9999.  -9999.   -76.5242    39.0694  -9999.  -9999.  -9999.
2502.81  -9999.    210.44     2.31     -2.93     19.85      15929.7    104.56    185.09     0.00     278.40     20.07 1  -9999.  -9999.   -76.5239    39.0694  -9999.  -9999.  -9999.
2503.81  -9999.    210.43     2.30     -3.00     19.93      15934.4    104.47    185.05     0.00     278.56     20.15 1  -9999.  -9999.   -76.5237    39.0694  -9999.  -9999.  -9999.
2504.81  -9999.    210.43     2.29     -3.07     19.99      15938.8    104.39    185.02     0.00     278.74     20.23 1  -9999.  -9999.   -76.5235    39.0694  -9999.  -9999.  -9999.
2505.81  -9999.    210.42     2.28     -3.15     20.05      15946.3    104.30    184.98     0.00     278.94     20.29 1  -9999.  -9999.   -76.5233    39.0693  -9999.  -9999.  -9999.
2506.81  -9999.    210.42     2.26     -3.24     20.09      15951.1    104.22    184.94     0.00     279.16     20.35 1  -9999.  -9999.   -76.5230    39.0693  -9999.  -9999.  -9999.
2507.81  -9999.    210.39     2.25     -3.34     20.13      15955.1    104.13    184.89     0.00     279.41     20.40 1  -9999.  -9999.   -76.5228    39.0692  -9999.  -9999.  -9999.
2508.81  -9999.    210.38     2.24     -3.44     20.16      15959.4    104.04    184.85     0.00     279.70     20.45 1  -9999.  -9999.   -76.5225    39.0692  -9999.  -9999.  -9999.
2509.81  -9999.    210.37     2.22     -3.56     20.17      15964.9    103.95    184.81     0.00     280.01     20.49 1  -9999.  -9999.   -76.5223    39.0692  -9999.  -9999.  -9999.
2510.81  -9999.    210.35     2.21     -3.68     20.18      15970.5    103.86    184.75     0.00     280.34     20.52 1  -9999.  -9999.   -76.5220    39.0691  -9999.  -9999.  -9999.
2511.81  -9999.    210.31     2.20     -3.81     20.18      15975.8    103.77    184.69     0.00     280.70     20.54 1  -9999.  -9999.   -76.5218    39.0692  -9999.  -9999.  -9999.
2512.81  -9999.    210.28     2.18     -3.95     20.16      15981.5    103.68    184.63     0.00     281.09     20.54 1  -9999.  -9999.   -76.5216    39.0691  -9999.  -9999.  -9999.
2513.81  -9999.    210.27     2.17     -4.09     20.13      15989.2    103.59    184.58     0.00     281.50     20.54 1  -9999.  -9999.   -76.5213    39.0691  -9999.  -9999.  -9999.
2514.81  -9999.    210.32     2.15     -4.24     20.08      15995.2    103.50    184.57     0.00     281.93     20.52 1  -9999.  -9999.   -76.5211    39.0691  -9999.  -9999.  -9999.
2515.81  -9999.    210.36     2.13     -4.40     20.02      15999.4    103.42    184.56     0.00     282.39     20.50 1  -9999.  -9999.   -76.5208    39.0690  -9999.  -9999.  -9999.
2516.81  -9999.    210.51     2.11     -4.56     19.95      16001.8    103.34    184.62     0.00     282.88     20.47 1  -9999.  -9999.   -76.5206    39.0690  -9999.  -9999.  -9999.
2517.81  -9999.    210.66     2.10     -4.73     19.87      16006.0    103.25    184.68     0.00     283.40     20.43 1  -9999.  -9999.   -76.5204    39.0689  -9999.  -9999.  -9999.
2518.81  -9999.    210.74     2.08     -4.91     19.78      16012.7    103.17    184.70     0.00     283.94     20.38 1  -9999.  -9999.   -76.5201    39.0689  -9999.  -9999.  -9999.
2519.81  -9999.    210.79     2.06     -5.09     19.68      16015.9    103.09    184.68     0.00     284.49     20.33 1  -9999.  -9999.   -76.5199    39.0689  -9999.  -9999.  -9999.
2520.81  -9999.    210.84     2.04     -5.27     19.57      16021.6    103.01    184.66     0.00     285.06     20.27 1  -9999.  -9999.   -76.5197    39.0689  -9999.  -9999.  -9999.
